zoneName,gmtOffset,gmtOffsetName,abbreviation,tzName
Asia/Hong_Kong,28800,UTC+08:00,HKT,Hong Kong Time
Asia/Hovd,25200,UTC+07:00,HOVT,Hovd Time
Asia/Irkutsk,28800,UTC+08:00,IRKT,Irkutsk Time
Asia/Jakarta,25200,UTC+07:00,WIB,Western Indonesian Time
Asia/Jayapura,32400,UTC+09:00,WIT,Eastern Indonesian Time
Asia/Jerusalem,7200,UTC+02:00,IST,Israel Standard Time
Asia/Kabul,16200,UTC+04:30,AFT,Afghanistan Time
Asia/Kamchatka,43200,UTC+12:00,PETT,Kamchatka Time
Asia/Karachi,18000,UTC+05:00,PKT,Pakistan Standard Time
Asia/Kathmandu,20700,UTC+05:45,NPT,Nepal Time
Asia/Khandyga,32400,UTC+09:00,YAKT,Yakutsk Time
Asia/Kolkata,19800,UTC+05:30,IST,Indian Standard Time
Asia/Krasnoyarsk,25200,UTC+07:00,KRAT,Krasnoyarsk Time
Asia/Kuala_Lumpur,28800,UTC+08:00,MYT,Malaysia Time
Asia/Kuching,28800,UTC+08:00,MYT,Malaysia Time
Asia/Kuwait,10800,UTC+03:00,AST,Arabia Standard Time
Asia/Macau,28800,UTC+08:00,CST,China Standard Time
Asia/Magadan,39600,UTC+11:00,MAGT,Magadan Time
Asia/Makassar,28800,UTC+08:00,WITA,Central Indonesia Time
Asia/Manila,28800,UTC+08:00,PHT,Philippine Time
Asia/Muscat,14400,UTC+04:00,GST,Gulf Standard Time
Asia/Nicosia,7200,UTC+02:00,EET,Eastern European Time
Asia/Novokuznetsk,25200,UTC+07:00,KRAT,Krasnoyarsk Time
Asia/Novosibirsk,25200,UTC+07:00,NOVT,Novosibirsk Time
Asia/Omsk,21600,UTC+06:00,OMST,Omsk Time
Asia/Oral,18000,UTC+05:00,ORAT,Oral Time
Asia/Phnom_Penh,25200,UTC+07:00,ICT,Indochina Time
Asia/Pontianak,25200,UTC+07:00,WIB,Western Indonesian Time
Asia/Pyongyang,32400,UTC+09:00,KST,Korea Standard Time
Asia/Qatar,10800,UTC+03:00,AST,Arabia Standard Time
Asia/Qostanay,21600,UTC+06:00,QYZST,Qyzylorda Summer Time
Asia/Qyzylorda,18000,UTC+05:00,QYZT,Qyzylorda Summer Time
Asia/Riyadh,10800,UTC+03:00,AST,Arabia Standard Time
Asia/Sakhalin,39600,UTC+11:00,SAKT,Sakhalin Island Time
Asia/Samarkand,18000,UTC+05:00,UZT,Uzbekistan Time
Asia/Seoul,32400,UTC+09:00,KST,Korea Standard Time
Asia/Shanghai,28800,UTC+08:00,CST,China Standard Time
Asia/Singapore,28800,UTC+08:00,SGT,Singapore Time
Asia/Srednekolymsk,39600,UTC+11:00,SRET,Srednekolymsk Time
Asia/Taipei,28800,UTC+08:00,CST,China Standard Time
Asia/Tashkent,18000,UTC+05:00,UZT,Uzbekistan Time
Asia/Tbilisi,14400,UTC+04:00,GET,Georgia Standard Time
Asia/Tehran,12600,UTC+03:30,IRDT,Iran Daylight Time
Asia/Thimphu,21600,UTC+06:00,BTT,Bhutan Time
Asia/Tokyo,32400,UTC+09:00,JST,Japan Standard Time
Asia/Tomsk,25200,UTC+07:00,MSD+3,Moscow Daylight Time
Asia/Ulaanbaatar,28800,UTC+08:00,ULAT,Ulaanbaatar Standard Time
Asia/Urumqi,21600,UTC+06:00,XJT,China Standard Time
Asia/Ust-Nera,36000,UTC+10:00,VLAT,Vladivostok Time
Asia/Vientiane,25200,UTC+07:00,ICT,Indochina Time
Asia/Vladivostok,36000,UTC+10:00,VLAT,Vladivostok Time
Asia/Yakutsk,32400,UTC+09:00,YAKT,Yakutsk Time
Asia/Yangon,23400,UTC+06:30,MMT,Myanmar Standard Time
Asia/Yekaterinburg,18000,UTC+05:00,YEKT,Yekaterinburg Time
Asia/Yerevan,14400,UTC+04:00,AMT,Armenia Time
Atlantic/Azores,-3600,UTC-01:00,AZOT,Azores Standard Time
Atlantic/Bermuda,-14400,UTC-04:00,AST,Atlantic Standard Time
Atlantic/Canary,0,UTC+00:00,WET,Western European Time
Atlantic/Cape_Verde,-3600,UTC-01:00,CVT,Cape Verde Time
Atlantic/Faroe,0,UTC+00:00,WET,Western European Time
Atlantic/Madeira,0,UTC+00:00,WET,Western European Time
Atlantic/Reykjavik,0,UTC+00:00,GMT,Greenwich Mean Time
Atlantic/South_Georgia,-7200,UTC-02:00,GST,South Georgia and the South Sandwich Islands Time
Atlantic/St_Helena,0,UTC+00:00,GMT,Greenwich Mean Time
Atlantic/Stanley,-10800,UTC-03:00,FKST,Falkland Islands Summer Time
Australia/Adelaide,37800,UTC+10:30,ACDT,Australian Central Daylight Saving Time
Australia/Brisbane,36000,UTC+10:00,AEST,Australian Eastern Standard Time
Australia/Broken_Hill,37800,UTC+10:30,ACDT,Australian Central Daylight Saving Time
Australia/Currie,39600,UTC+11:00,AEDT,Australian Eastern Daylight Saving Time
Australia/Darwin,34200,UTC+09:30,ACST,Australian Central Standard Time
Australia/Eucla,31500,UTC+08:45,ACWST,Australian Central Western Standard Time (Unofficial)
Australia/Hobart,39600,UTC+11:00,AEDT,Australian Eastern Daylight Saving Time
Australia/Lindeman,36000,UTC+10:00,AEST,Australian Eastern Standard Time
Australia/Lord_Howe,39600,UTC+11:00,LHST,Lord Howe Summer Time
Australia/Melbourne,39600,UTC+11:00,AEDT,Australian Eastern Daylight Saving Time
Australia/Perth,28800,UTC+08:00,AWST,Australian Western Standard Time
Australia/Sydney,39600,UTC+11:00,AEDT,Australian Eastern Daylight Saving Time
Europe/Amsterdam,3600,UTC+01:00,CET,Central European Time
Europe/Andorra,3600,UTC+01:00,CET,Central European Time
Europe/Astrakhan,14400,UTC+04:00,SAMT,Samara Time
Europe/Athens,7200,UTC+02:00,EET,Eastern European Time
Europe/Belgrade,3600,UTC+01:00,CET,Central European Time
Europe/Berlin,3600,UTC+01:00,CET,Central European Time
Europe/Bratislava,3600,UTC+01:00,CET,Central European Time
Europe/Brussels,3600,UTC+01:00,CET,Central European Time
Europe/Bucharest,7200,UTC+02:00,EET,Eastern European Time
Europe/Budapest,3600,UTC+01:00,CET,Central European Time
Europe/Busingen,3600,UTC+01:00,CET,Central European Time
Europe/Chisinau,7200,UTC+02:00,EET,Eastern European Time
Europe/Copenhagen,3600,UTC+01:00,CET,Central European Time
Europe/Dublin,0,UTC+00:00,GMT,Greenwich Mean Time
Europe/Gibraltar,3600,UTC+01:00,CET,Central European Time
Europe/Guernsey,0,UTC+00:00,GMT,Greenwich Mean Time
Europe/Helsinki,7200,UTC+02:00,EET,Eastern European Time
Europe/Isle_of_Man,0,UTC+00:00,GMT,Greenwich Mean Time
Europe/Istanbul,10800,UTC+03:00,EET,Eastern European Time
Europe/Jersey,0,UTC+00:00,GMT,Greenwich Mean Time
Europe/Kaliningrad,7200,UTC+02:00,EET,Eastern European Time
Europe/Kiev,7200,UTC+02:00,EET,Eastern European Time
Europe/Kirov,10800,UTC+03:00,MSK,Moscow Time
Europe/Lisbon,0,UTC+00:00,WET,Western European Time
Europe/Ljubljana,3600,UTC+01:00,CET,Central European Time
Europe/London,0,UTC+00:00,GMT,Greenwich Mean Time
Europe/Luxembourg,3600,UTC+01:00,CET,Central European Time
Europe/Madrid,3600,UTC+01:00,CET,Central European Time
Europe/Malta,3600,UTC+01:00,CET,Central European Time
Europe/Mariehamn,7200,UTC+02:00,EET,Eastern European Time
Europe/Minsk,10800,UTC+03:00,MSK,Moscow Time
Europe/Monaco,3600,UTC+01:00,CET,Central European Time
Europe/Moscow,10800,UTC+03:00,MSK,Moscow Time
Europe/Oslo,3600,UTC+01:00,CET,Central European Time
Europe/Paris,3600,UTC+01:00,CET,Central European Time
Europe/Podgorica,3600,UTC+01:00,CET,Central European Time
Europe/Prague,3600,UTC+01:00,CET,Central European Time
Europe/Riga,7200,UTC+02:00,EET,Eastern European Time
Europe/Rome,3600,UTC+01:00,CET,Central European Time
Europe/Samara,14400,UTC+04:00,SAMT,Samara Time
Europe/San_Marino,3600,UTC+01:00,CET,Central European Time
Europe/Sarajevo,3600,UTC+01:00,CET,Central European Time
Europe/Saratov,14400,UTC+04:00,MSD,oscow Daylight Time
Europe/Simferopol,10800,UTC+03:00,MSK,Moscow Time
Europe/Skopje,3600,UTC+01:00,CET,Central European Time
Europe/Sofia,7200,UTC+02:00,EET,Eastern European Time
Europe/Stockholm,3600,UTC+01:00,CET,Central European Time
Europe/Tallinn,7200,UTC+02:00,EET,Eastern European Time
Europe/Tirane,3600,UTC+01:00,CET,Central European Time
Europe/Ulyanovsk,14400,UTC+04:00,SAMT,Samara Time
Europe/Uzhgorod,7200,UTC+02:00,EET,Eastern European Time
Europe/Vaduz,3600,UTC+01:00,CET,Central European Time
Europe/Vatican,3600,UTC+01:00,CET,Central European Time
Europe/Vienna,3600,UTC+01:00,CET,Central European Time
Europe/Vilnius,7200,UTC+02:00,EET,Eastern European Time
Europe/Volgograd,14400,UTC+04:00,MSK,Moscow Standard Time
Europe/Warsaw,3600,UTC+01:00,CET,Central European Time
Europe/Zagreb,3600,UTC+01:00,CET,Central European Time
Europe/Zaporozhye,7200,UTC+02:00,EET,Eastern European Time
Europe/Zurich,3600,UTC+01:00,CET,Central European Time
Indian/Antananarivo,10800,UTC+03:00,EAT,East Africa Time
Indian/Chagos,21600,UTC+06:00,IOT,Indian Ocean Time
Indian/Christmas,25200,UTC+07:00,CXT,Christmas Island Time
Indian/Cocos,23400,UTC+06:30,CCT,Cocos Islands Time
Indian/Comoro,10800,UTC+03:00,EAT,East Africa Time
Indian/Kerguelen,18000,UTC+05:00,TFT,French Southern and Antarctic Time
Indian/Mahe,14400,UTC+04:00,SCT,Seychelles Time
Indian/Maldives,18000,UTC+05:00,MVT,Maldives Time
Indian/Mauritius,14400,UTC+04:00,MUT,Mauritius Time
Indian/Mayotte,10800,UTC+03:00,EAT,East Africa Time
Indian/Reunion,14400,UTC+04:00,RET,R\u00e9union Time
Pacific/Apia,50400,UTC+14:00,WST,West Samoa Time
Pacific/Auckland,46800,UTC+13:00,NZDT,New Zealand Daylight Time
Pacific/Bougainville,39600,UTC+11:00,BST,ougainville Standard Time
Pacific/Chatham,49500,UTC+13:45,CHAST,Chatham Standard Time
Pacific/Chuuk,36000,UTC+10:00,CHUT,Chuuk Time
Pacific/Easter,-18000,UTC-05:00,EASST,Easter Island Summer Time
Pacific/Efate,39600,UTC+11:00,VUT,Vanuatu Time
Pacific/Enderbury,46800,UTC+13:00,PHOT,Phoenix Island Time
Pacific/Fakaofo,46800,UTC+13:00,TKT,Tokelau Time
Pacific/Fiji,43200,UTC+12:00,FJT,Fiji Time
Pacific/Funafuti,43200,UTC+12:00,TVT,Tuvalu Time
Pacific/Galapagos,-21600,UTC-06:00,GALT,Gal\u00e1pagos Time
Pacific/Gambier,-32400,UTC-09:00,GAMT,Gambier Islands Time
Pacific/Guadalcanal,39600,UTC+11:00,SBT,Solomon Islands Time
Pacific/Guam,36000,UTC+10:00,CHST,Chamorro Standard Time
Pacific/Honolulu,-36000,TC-10:00,HST,Hawaii Standard Time
Pacific/Kiritimati,50400,UTC+14:00,LINT,Line Islands Time
Pacific/Kosrae,39600,UTC+11:00,KOST,Kosrae Time
Pacific/Kwajalein,43200,UTC+12:00,MHT,Marshall Islands Time
Pacific/Majuro,43200,UTC+12:00,MHT,Marshall Islands Time
Pacific/Marquesas,-34200,UTC-09:30,MART,Marquesas Islands Time
Pacific/Midway,-39600,UTC-11:00,SST,Samoa Standard Time
Pacific/Nauru,43200,UTC+12:00,NRT,Nauru Time
Pacific/Niue,-39600,UTC-11:00,NUT,Niue Time
Pacific/Norfolk,43200,UTC+12:00,NFT,Norfolk Time
Pacific/Noumea,39600,UTC+11:00,NCT,New Caledonia Time
Pacific/Pago_Pago,-39600,UTC-11:00,SST,Samoa Standard Time
Pacific/Palau,32400,UTC+09:00,PWT,Palau Time
Pacific/Pitcairn,-28800,UTC-08:00,PST,Pacific Standard Time (North America)
Pacific/Pohnpei,39600,UTC+11:00,PONT,Pohnpei Standard Time
Pacific/Port_Moresby,36000,UTC+10:00,PGT,Papua New Guinea Time
Pacific/Rarotonga,-36000,UTC-10:00,CKT,Cook Island Time
Pacific/Saipan,36000,UTC+10:00,ChST,Chamorro Standard Time
Pacific/Tahiti,-36000,UTC-10:00,TAHT,Tahiti Time
Pacific/Tarawa,43200,UTC+12:00,GILT,Gilbert Island Time
Pacific/Tongatapu,46800,UTC+13:00,TOT,Tonga Time
Pacific/Wake,43200,UTC+12:00,WAKT,Wake Island Time
Pacific/Wallis,43200,UTC+12:00,WFT,Wallis & Futuna Time
